Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__flush_all_1201
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__fun_1764
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__iter_1202
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__loop_1159
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__open_in_gen_1242
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__open_out_gen_1190
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__string_of_float_1161
  0.00      2.86     0.00        1     0.00     0.00  camlPervasives__valid_float_lexem_1156
  0.00      2.86     0.00        1     0.00     0.00  camlPrint__entry
  0.00      2.86     0.00        1     0.00     0.00  camlPrintexc__entry
  0.00      2.86     0.00        1     0.00     0.00  camlPrintexc__register_printer_1430
  0.00      2.86     0.00        1     0.00     0.00  camlPrintf__entry
  0.00      2.86     0.00        1     0.00     0.00  camlQueue__entry
  0.00      2.86     0.00        1     0.00     0.00  camlRandom__entry
  0.00      2.86     0.00        1     0.00     0.00  camlSet__entry
  0.00      2.86     0.00        1     0.00     0.00  camlStack__entry
  0.00      2.86     0.00        1     0.00     0.00  camlString__contains_from_1375
  0.00      2.86     0.00        1     0.00     0.00  camlString__entry
  0.00      2.86     0.00        1     0.00     0.00  camlString__index_rec_1327
  0.00      2.86     0.00        1     0.00     0.00  camlSys__entry
  0.00      2.86     0.00        1     0.00     0.00  camlTy__entry
  0.00      2.86     0.00        1     0.00     0.00  camlTypes__entry
  0.00      2.86     0.00        1     0.00     0.00  camlTypes__rcd_cl_3814
  0.00      2.86     0.00        1     0.00     0.00  camlTypes__vsgn_3761
  0.00      2.86     0.00        1     0.00     0.00  camlUtil__entry
  0.00      2.86     0.00        1     0.00     0.00  camlUtil__open_in_close_1216
  0.00      2.86     0.00        1     0.00     0.00  camlUtil__open_out_close_1221
  0.00      2.86     0.00        1     0.00     0.00  camlVmr0__entry
  0.00      2.86     0.00        1     0.00     0.00  camlVmr0__ini_st_v_2158
  0.00      2.86     0.00        1     0.00     0.00  camlVmr0__print_asm_2307
  0.00      2.86     0.00        1     0.00     0.00  camlVmr0__st_ini_2299
  0.00      2.86     0.00        1     0.00     0.00  camlWeak__entry
  0.00      2.86     0.00        1     0.00     0.00  caml_alloc_array
  0.00      2.86     0.00        1     0.00     0.00  caml_alloc_shr_no_raise
  0.00      2.86     0.00        1     0.00     0.00  caml_check_urgent_gc
  0.00      2.86     0.00        1     0.00     0.00  caml_classify_float
  0.00      2.86     0.00        1     0.00     0.00  caml_classify_float_unboxed
  0.00      2.86     0.00        1     0.00     0.00  caml_compact_heap
  0.00      2.86     0.00        1     0.00     0.00  caml_copy_string_array
  0.00      2.86     0.00        1     0.00     0.00  caml_cplugins_init
  0.00      2.86     0.00        1     0.00     0.00  caml_debugger_init
  0.00      2.86     0.00        1     0.00     0.00  caml_executable_name
  0.00      2.86     0.00        1     0.00     0.00  caml_ext_table_add
  0.00      2.86     0.00        1     0.00     0.00  caml_ext_table_init
  0.00      2.86     0.00        1     0.00     0.00  caml_finalize_channel
  0.00      2.86     0.00        1     0.00     0.00  caml_finish_major_cycle
  0.00      2.86     0.00        1     0.00     0.00  caml_format_float
  0.00      2.86     0.00        1     0.00     0.00  caml_free_for_heap
  0.00      2.86     0.00        1     0.00     0.00  caml_init_alloc_for_heap
  0.00      2.86     0.00        1     0.00     0.00  caml_init_atom_table
  0.00      2.86     0.00        1     0.00     0.00  caml_init_backtrace
  0.00      2.86     0.00        1     0.00     0.00  caml_init_custom_operations
  0.00      2.86     0.00        1     0.00     0.00  caml_init_frame_descriptors
  0.00      2.86     0.00        1     0.00     0.00  caml_init_gc
  0.00      2.86     0.00        1     0.00     0.00  caml_init_ieee_floats
  0.00      2.86     0.00        1     0.00     0.00  caml_init_major_heap
  0.00      2.86     0.00        1     0.00     0.00  caml_init_signals
  0.00      2.86     0.00        1     0.00     0.00  caml_input_val
  0.00      2.86     0.00        1     0.00     0.00  caml_input_val_core
  0.00      2.86     0.00        1     0.00     0.00  caml_input_value
  0.00      2.86     0.00        1     0.00     0.00  caml_ml_out_channels_list
  0.00      2.86     0.00        1     0.00     0.00  caml_normalize_heap_increment
  0.00      2.86     0.00        1     0.00     0.00  caml_obj_dup
  0.00      2.86     0.00        1     0.00     0.00  caml_obj_tag
  0.00      2.86     0.00        1     0.00     0.00  caml_output_val
  0.00      2.86     0.00        1     0.00     0.00  caml_output_value
  0.00      2.86     0.00        1     0.00     0.00  caml_page_table_initialize
  0.00      2.86     0.00        1     0.00     0.00  caml_page_table_remove
  0.00      2.86     0.00        1     0.00     0.00  caml_parse_header
  0.00      2.86     0.00        1     0.00     0.00  caml_parse_ocamlrunparam
  0.00      2.86     0.00        1     0.00     2.41  caml_program
  0.00      2.86     0.00        1     0.00     0.00  caml_read_fd
  0.00      2.86     0.00        1     0.00     0.00  caml_realloc_custom_table
  0.00      2.86     0.00        1     0.00     0.00  caml_realloc_ephe_ref_table
  0.00      2.86     0.00        1     0.00     0.00  caml_realloc_ref_table
  0.00      2.86     0.00        1     0.00     0.00  caml_set_minor_heap_size
  0.00      2.86     0.00        1     0.00     0.00  caml_shrink_heap
  0.00      2.86     0.00        1     0.00     0.00  caml_startup_exn
  0.00      2.86     0.00        1     0.00     0.00  caml_sys_exit
  0.00      2.86     0.00        1     0.00     0.00  caml_sys_get_argv
  0.00      2.86     0.00        1     0.00     0.00  caml_sys_get_config
  0.00      2.86     0.00        1     0.00     0.00  caml_sys_init
  0.00      2.86     0.00        1     0.00     0.00  extern_replay_trail
  0.00      2.86     0.00        1     0.00     0.00  extern_value
  0.00      2.86     0.00        1     0.00     0.00  fill_hashtable
  0.00      2.86     0.00        1     0.00     0.00  hash_channel
  0.00      2.86     0.00        1     0.00     0.00  init_extern_output
  0.00      2.86     0.00        1     0.00     0.00  init_frame_descriptors
  0.00      2.86     0.00        1     0.00     0.00  intern_cleanup
  0.00      2.86     0.00        1     0.00     0.00  writecode16
  0.00      2.86     0.00        1     0.00     0.00  writecode32

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.35% of 2.86 seconds

index % time    self  children    called     name
                0.00    2.41       1/1           caml_start_program [2]
[1]     84.4    0.00    2.41       1         caml_program [1]
                0.00    2.41       1/1           camlEvo_tkn__entry [3]
                0.00    0.00       1/1           camlPervasives__entry [92]
                0.00    0.00       1/1           camlSys__entry [95]
                0.00    0.00       1/1           camlTy__entry [100]
                0.00    0.00       1/1           camlRandom__entry [101]
                0.00    0.00       1/1           camlCamlinternalFormatBasics__entry [265]
                0.00    0.00       1/1           camlList__entry [280]
                0.00    0.00       1/1           camlChar__entry [269]
                0.00    0.00       1/1           camlBytes__entry [263]
                0.00    0.00       1/1           camlString__entry [298]
                0.00    0.00       1/1           camlMarshal__entry [282]
                0.00    0.00       1/1           camlObj__entry [284]
                0.00    0.00       1/1           camlArray__entry [259]
                0.00    0.00       1/1           camlInt32__entry [278]
                0.00    0.00       1/1           camlInt64__entry [279]
                0.00    0.00       1/1           camlNativeint__entry [283]
                0.00    0.00       1/1           camlSet__entry [295]
